rank,selector,micro_accuracy,RNS_w,regret_w,regret_p90,copeland_norm,top_share,coverage,tasks_count,evidence_w,tier,Score,Score_ci_lower,Score_ci_upper
1,con64@,0.7249208653400271,0.9259259259259259,0.005000000000000008,0.015000000000000024,0.8518518518518517,0.75,1.0,6,60.0,PROVISIONAL,0.9318333333333334,0.8121666666666668,1.0
2,consensus-max,0.6648198552390169,0.6296296296296298,0.08885708824244958,0.16816546762589935,0.25925925925925924,0.0,1.0,6,60.0,PROVISIONAL,0.6400095401939319,0.5331834532374101,0.7439928109686164
3,medoid,0.6702191576443074,0.5833333333333334,0.0799044242866577,0.11847826086956534,0.16666666666666666,0.0,1.0,6,60.0,PROVISIONAL,0.6010286727140027,0.4539996872067563,0.7347529976019184
4,knn-medoid,0.6651686525938023,0.5555555555555555,0.08929673652382444,0.18615107913669066,0.11111111111111113,0.08333333333333333,1.0,6,60.0,PROVISIONAL,0.5732109790428527,0.41726978417266186,0.7564226657804178
5,min-activation,0.6643269017520514,0.5555555555555556,0.09077355506898832,0.18974820143884896,0.1111111111111111,0.0,1.0,6,60.0,PROVISIONAL,0.5727679334793035,0.42071702637889685,0.7187355072463768
6,dbscan-medoid,0.6616332990584488,0.5185185185185186,0.08991841309561054,0.13750000000000012,0.03703703703703704,0.0,1.0,6,60.0,PROVISIONAL,0.5396911427379835,0.3875688405797102,0.7155174916588461
7,consensus-min,0.6675376519687898,0.48148148148148145,0.08369139471031876,0.12176258992805766,-0.03703703703703704,0.0,1.0,6,60.0,PROVISIONAL,0.5082259149202377,0.31831884057971005,0.6721570743405275
8,deepconf,0.6154811588943325,0.29629629629629634,0.15227452820352422,0.27500000000000013,-0.4074074074074074,0.0,1.0,6,60.0,PROVISIONAL,0.3209843082056094,0.14966666666666667,0.5281654676258992
9,avg64@,0.6257116776547914,0.2777777777777778,0.13917019601709937,0.20727173913043478,-0.4444444444444444,0.0,1.0,6,60.0,PROVISIONAL,0.3082489411948702,0.1682478380773642,0.5436527817745803
10,max-activation,0.559059658460856,0.17592592592592593,0.2235282209015397,0.29583333333333345,-0.6481481481481481,0.16666666666666666,1.0,6,60.0,PROVISIONAL,0.19127486706287142,0.019731388802001842,0.5162898550724637
